"","Author","Year","Title","Journal","Volume","Issue","Pages"
"73172","Nikinmaa, M., McCairns, R. J. S., Nikinmaa, M. W., Vuori, K. A., Kanerva, M., Leinonen, T., Primmer, C. R., Merila, J. and Leder, E. H.",2013,"Transcription and redox enzyme activities: comparison of equilibrium and disequilibrium levels in the three-spined stickleback","Proceedings of the Royal Society B-Biological Sciences","280"," 1755 ",""
"61773","Beaulieu, M., Ropert-Coudert, Y., Le Maho, Y., Ancel, A. and Criscuolo, F.",2010,"Foraging in an oxidative environment: relationship between delta C-13 values and oxidative status in Adelie penguins","Proceedings of the Royal Society B-Biological Sciences","277"," 1684 ","1087-1092"
"60496","Haarmeyer, D. H., Schmiedel, U., Dengler, J. and Bosing, B. M.",2010,"How does grazing intensity affect different vegetation types in arid Succulent Karoo, South Africa? Implications for conservation management","Biological Conservation","143"," 3 ","588-596"
"39456","McGeoch, M. A. and Price, P. W.",2005,"Scale-dependent mechanisms in the population dynamics of an insect herbivore","Oecologia","144","2","278-288"
"68731","MacNulty, D. R., Smith, D. W., Mech, L. D., Vucetich, J. A. and Packer, C.",2012,"Nonlinear effects of group size on the success of wolves hunting elk","Behavioral Ecology","23"," 1 ","75-+"
"78608","Bowers, E. K., Thompson, C. F. and Sakaluk, S. K.",2014,"Offspring sex ratio varies with clutch size for female house wrens induced to lay supernumerary eggs","Behavioral Ecology","25"," 1 ","165-171"
"38329","Thomas, M. L., Tsutsui, N. D. and Holway, D. A.",2005,"Intraspecific competition influences the symmetry and intensity of aggression in the Argentine ant","Behavioral Ecology","16","2","472-481"
"44185","Garamszegi, L. Z., Merino, S., Torok, J., Eens, M. and Martinez, J.",2006,"Indicators of physiological stress and the elaboration of sexual traits in the collared flycatcher","Behavioral Ecology","17","3","399-404"
"75195","Eagle, R. A., Eiler, J. M., Tripati, A. K., Ries, J. B., Freitas, P. S., Hiebenthal, C., Wanamaker, A. D., Taviani, M., Elliot, M., Marenssi, S., Nakamura, K., Ramirez, P. and Roy, K.",2013,"The influence of temperature and seawater carbonate saturation state on C-13-O-18 bond ordering in bivalve mollusks","Biogeosciences","10"," 7 ","4591-4606"
"72406","Scrieciu, S. S., Barker, T. and Ackerman, F.",2013,"Pushing the boundaries of climate economics: critical issues to consider in climate policy analysis","Ecological Economics","85"," ","155-165"
"39682","Lemenih, M., Karltun, E. and Olsson, M.",2005,"Soil organic matter dynamics after deforestation along a farm field chronosequence in southern highlands of Ethiopia","Agriculture Ecosystems & Environment","109"," 1-2 ","Sep-19"
